Symbol,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, ISIN NUMBER, FACE VALUE
PLATIND,Platinum Industries Limited,EQ,05-Mar-24,10,INE0PT501018,10
PLAZACABLE,Plaza Wires Limited,EQ,12-Oct-23,10,INE0INJ01017,10
PNB,Punjab National Bank,EQ,24-Apr-02,2,INE160A01022,2
PNBGILTS,PNB Gilts Limited,EQ,18-Sep-00,10,INE859A01011,10
PNBHOUSING,PNB Housing Finance Limited,EQ,07-Nov-16,10,INE572E01012,10
PNC,Pritish Nandy Communications Limited,BE,11-Dec-00,10,INE392B01011,10
PNCINFRA,PNC Infratech Limited,EQ,26-May-15,2,INE195J01029,2
PNGJL,P N Gadgil Jewellers Limited,EQ,17-Sep-24,10,INE953R01016,10
POCL,Pondy Oxides & Chemicals Limited,EQ,06-Mar-23,5,INE063E01053,5
PODDARMENT,Poddar Pigments Limited,EQ,22-Nov-16,10,INE371C01013,10
POKARNA,Pokarna Limited,EQ,07-Jul-16,2,INE637C01025,2
POLICYBZR,PB Fintech Limited,EQ,15-Nov-21,2,INE417T01026,2
POLYCAB,Polycab India Limited,EQ,16-Apr-19,10,INE455K01017,10
POLYMED,Poly Medicure Limited,EQ,07-Dec-11,5,INE205C01021,5
POLYPLEX,Polyplex Corporation Limited,EQ,11-Apr-03,10,INE633B01018,10
PONNIERODE,Ponni Sugars (Erode) Limited,EQ,16-Apr-02,10,INE838E01017,10
POONAWALLA,Poonawalla Fincorp Limited,EQ,27-Apr-04,2,INE511C01022,2
POWERGRID,Power Grid Corporation of India Limited,EQ,05-Oct-07,10,INE752E01010,10
POWERINDIA,Hitachi Energy India Limited,EQ,30-Mar-20,2,INE07Y701011,2
POWERMECH,Power Mech Projects Limited,EQ,26-Aug-15,10,INE211R01019,10
PPAP,PPAP Automotive Limited,EQ,11-Jan-08,10,INE095I01015,10
PPL,Prakash Pipes Limited,EQ,14-Jun-19,10,INE050001010,10
PPLPHARMA,Piramal Pharma Limited,EQ,19-Oct-22,10,INE0DK501011,10
PRABHA,Prabha Energy Limited,EQ,19-Mar-25,1,INE0I0M01023,1
PRAENG,Prajay Engineers Syndicate Limited,EQ,02-Jan-07,10,INE505C01016,10
PRAJIND,Praj Industries Limited,EQ,11-Oct-95,2,INE074A01025,2
PRAKASH,Prakash Industries Limited,EQ,10-May-95,10,INE603A01013,10
PRAKASHSTL,Prakash Steelage Limited,EQ,25-Aug-10,1,INE696K01024,1
PRAXIS,Praxis Home Retail Limited,EQ,31-Jan-18,5,INE546Y01022,5
PRECAM,Precision Camshafts Limited,EQ,08-Feb-16,10,INE484I01029,10
PRECOT,Precot Limited,EQ,19-Aug-05,10,INE283A01014,10
PRECWIRE,Precision Wires India Limited,EQ,06-Sep-95,1,INE372C01037,1
PREMEXPLN,Premier Explosives Limited,EQ,17-Jun-16,2,INE863B01029,2
PREMIER,Premier Limited,BE,03-Apr-96,10,INE342A01018,10
PREMIERENE,Premier Energies Limited,EQ,03-Sep-24,1,INE0BS701011,1
PREMIERPOL,Premier Polyfilm Limited,EQ,13-Dec-95,1,INE309M01020,1
PRESTIGE,Prestige Estates Projects Limited,EQ,27-Oct-10,10,INE811K01011,10
PRICOLLTD,Pricol Limited,EQ,10-Feb-17,1,INE726V01018,1
PRIMESECU,Prime Securities Limited,EQ,17-Jun-05,5,INE032B01021,5
PRIMO,Primo Chemicals Limited,EQ,22-Apr-25,2,INE607A01022,2
PRINCEPIPE,Prince Pipes And Fittings Limited,EQ,30-Dec-19,10,INE689W01016,10
PRITI,Priti International Limited,EQ,02-Mar-22,10,INE974Z01015,10
PRITIKAUTO,Pritika Auto Industries Limited,EQ,10-Aug-21,2,INE583R01029,2
PRIVISCL,Privi Speciality Chemicals Limited,EQ,08-May-15,10,INE959A01019,10
PROTEAN,Protean eGov Technologies Limited,EQ,06-Feb-25,10,INE004A01022,10
PROZONER,Prozone Realty Limited,BE,12-Sep-12,2,INE195N01013,2
PRSMJOHNSN,Prism Johnson Limited,EQ,20-Aug-03,10,INE010A01011,10
PRUDENT,Prudent Corporate Advisory Services Limited,EQ,20-May-22,5,INE00F201020,5
PRUDMOULI,Prudential Sugar Corporation Limited,BE,10-May-95,10,INE024D01016,10
PSB,Punjab & Sind Bank,EQ,30-Dec-10,10,INE608A01012,10
PSPPROJECT,PSP Projects Limited,EQ,29-May-17,10,INE488V01015,10
PTC,PTC India Limited,EQ,07-Apr-04,10,INE877F01012,10
PTCIL,PTC Industries Limited,EQ,09-Jun-23,10,INE596F01018,10
PTL,PTL Enterprises Limited,EQ,29-Jan-07,1,INE034D01049,1
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,EQ,08-Mar-07,10,INE277B01014,10
PURVA,Puravankara Limited,EQ,30-Aug-07,5,INE323I01011,5
PVP,PVP Ventures Limited,EQ,03-Apr-96,10,INE362A01016,10
PVRINOX,PVR INOX Limited,EQ,04-Jan-06,10,INE191H01014,10
PVSL,Popular Vehicles and Services Limited,EQ,19-Mar-24,2,INE772T01024,2
PYRAMID,Pyramid Technoplast Limited,EQ,29-Aug-23,10,INE0MIS01010,10
QPOWER,Quality Power Electrical Equipments Limited,EQ,24-Feb-25,10,INE0SII01026,10
QUADFUTURE,Quadrant Future Tek Limited,EQ,14-Jan-25,10,INE0LRY01011,10
QUESS,Quess Corp Limited,EQ,12-Jul-16,10,INE615P01015,10
QUICKHEAL,Quick Heal Technologies Limited,EQ,18-Feb-16,10,INE306L01010,10
RACE,Race Eco Chain Limited,EQ,09-May-23,10,INE084Q01012,10
RACLGEAR,RACL Geartech Limited,EQ,27-Nov-24,10,INE704B01017,10
RADAAN,Radaan Mediaworks India Limited,BE,27-Feb-03,2,INE874F01027,2
RADHIKAJWE,Radhika Jeweltech Limited,EQ,18-Jul-22,2,INE583V01021,2
RADIANTCMS,Radiant Cash Management Services Limited,EQ,04-Jan-23,1,INE855R01021,1
RADICO,Radico Khaitan Limited,EQ,18-Jun-03,2,INE944F01028,2
RADIOCITY,Music Broadcast Limited,EQ,17-Mar-17,2,INE919I01024,2
RAILTEL,Railtel Corporation Of India Limited,EQ,26-Feb-21,10,INE0DD101019,10
RAIN,Rain Industries Limited,EQ,03-Mar-08,2,INE855B01025,2
RAINBOW,Rainbow Childrens Medicare Limited,EQ,10-May-22,10,INE961O01016,10
RAJESHEXPO,Rajesh Exports Limited,EQ,09-Feb-00,1,INE343B01030,1
RAJMET,Rajnandini Metal Limited,BE,16-Feb-21,1,INE00KV01022,1
RAJRATAN,Rajratan Global Wire Limited,EQ,22-May-20,2,INE451D01029,2
RAJRILTD,Raj Rayon Industries Limited,BE,16-Mar-22,1,INE533D01032,1
RAJSREESUG,Rajshree Sugars & Chemicals Limited,EQ,29-Mar-95,10,INE562B01019,10
RAJTV,Raj Television Network Limited,BE,16-Mar-07,5,INE952H01027,5
RALLIS,Rallis India Limited,EQ,01-Apr-99,1,INE613A01020,1
RAMANEWS,Shree Rama Newsprint Limited,BE,20-Sep-06,10,INE278B01020,10
RAMAPHO,Rama Phosphates Limited,BE,05-Aug-22,5,INE809A01032,5
RAMASTEEL,Rama Steel Tubes Limited,EQ,19-Aug-15,1,INE230R01035,1
RAMCOCEM,The Ramco Cements Limited,EQ,09-Apr-97,1,INE331A01037,1
RAMCOIND,Ramco Industries Limited,EQ,06-Nov-96,1,INE614A01028,1
RAMCOSYS,Ramco Systems Limited,EQ,12-Apr-00,10,INE246B01019,10
RAMKY,Ramky Infrastructure Limited,EQ,08-Oct-10,10,INE874I01013,10
RAMRAT,Ram Ratna Wires Limited,EQ,29-Jul-22,5,INE207E01023,5
RANASUG,Rana Sugars Limited,EQ,24-Feb-05,10,INE625B01014,10
RANEHOLDIN,Rane Holdings Limited,EQ,24-Sep-97,10,INE384A01010,10
RATEGAIN,Rategain Travel Technologies Limited,EQ,17-Dec-21,1,INE0CLI01024,1
RATNAMANI,Ratnamani Metals & Tubes Limited,EQ,09-May-06,2,INE703B01027,2
RATNAVEER,Ratnaveer Precision Engineering Limited,EQ,11-Sep-23,10,INE05CZ01011,10
RAYMOND,Raymond Limited,BE,18-Oct-95,10,INE301A01014,10
RAYMONDLSL,Raymond Lifestyle Limited,EQ,05-Sep-24,2,INE02ID01020,2
RBA,Restaurant Brands Asia Limited,EQ,14-Dec-20,10,INE07T201019,10
RBLBANK,RBL Bank Limited,EQ,31-Aug-16,10,INE976G01028,10
RBZJEWEL,RBZ Jewellers Limited,BE,27-Dec-23,10,INE0PEQ01016,10
RCF,Rashtriya Chemicals and Fertilizers Limited,EQ,07-Jan-98,10,INE027A01015,10
RCOM,Reliance Communications Limited,BE,06-Mar-06,5,INE330H01018,5
RECLTD,REC Limited,EQ,12-Mar-08,10,INE020B01018,10
REDINGTON,Redington Limited,EQ,15-Feb-07,2,INE891D01026,2
REDTAPE,Redtape Limited,EQ,11-Aug-23,2,INE0LXT01019,2
REFEX,Refex Industries Limited,EQ,03-Dec-09,2,INE056I01025,2
REGENCERAM,Regency Ceramics Limited,EQ,05-Jun-96,10,INE277C01012,10
RELAXO,Relaxo Footwears Limited,EQ,17-Jun-11,1,INE131B01039,1
RELCHEMQ,Reliance Chemotex Industries Limited,EQ,25-May-22,10,INE750D01016,10
RELIABLE,Reliable Data Services Limited,EQ,10-Jul-24,10,INE375Y01018,10
RELIANCE,Reliance Industries Limited,EQ,29-Nov-95,10,INE002A01018,10
RELIGARE,Religare Enterprises Limited,EQ,21-Nov-07,10,INE621H01010,10
RELINFRA,Reliance Infrastructure Limited,EQ,08-Feb-95,10,INE036A01016,10
RELTD,Ravindra Energy Limited,EQ,30-Jul-24,10,INE206N01018,10
REMSONSIND,Remsons Industries Limited,EQ,31-Jan-96,2,INE474C01023,2
RENUKA,Shree Renuka Sugars Limited,EQ,31-Oct-05,1,INE087H01022,1
REPCOHOME,Repco Home Finance Limited,EQ,01-Apr-13,10,INE612J01015,10
REPL,Rudrabhishek Enterprises Limited,EQ,14-Dec-20,10,INE364Z01019,10
REPRO,Repro India Limited,EQ,22-Dec-05,10,INE461B01014,10
RESPONIND,Responsive Industries Limited,EQ,29-Oct-10,1,INE688D01026,1
RETAIL,JHS Svendgaard Retail Ventures Limited,EQ,26-Jun-24,10,INE03DD01011,10
RGL,Renaissance Global Limited,EQ,12-Dec-07,2,INE722H01024,2
RHFL,Reliance Home Finance Limited,EQ,22-Sep-17,10,INE217K01011,10
RHIM,RHI MAGNESITA INDIA LIMITED,EQ,12-Mar-12,1,INE743M01012,1
RHL,Robust Hotels Limited,EQ,25-Apr-23,10,INE508K01013,10
RICOAUTO,Rico Auto Industries Limited,EQ,12-May-03,1,INE209B01025,1
RIIL,Reliance Industrial Infrastructure Limited,EQ,29-Nov-95,10,INE046A01015,10
RISHABH,Rishabh Instruments Limited,EQ,11-Sep-23,10,INE0N2P01017,10
RITCO,Ritco Logistics Limited,EQ,12-Apr-22,10,INE01EG01016,10
RITES,RITES Limited,EQ,02-Jul-18,10,INE320J01015,10
RKDL,Ravi Kumar Distilleries Limited,EQ,27-Dec-10,10,INE722J01012,10
RKEC,RKEC Projects Limited,EQ,18-Dec-20,10,INE786W01010,10
RKFORGE,Ramkrishna Forgings Limited,EQ,05-May-04,2,INE399G01023,2
RKSWAMY,R K Swamy Limited,EQ,12-Mar-24,5,INE0NQ801033,5
RML,Rane (Madras) Limited,EQ,30-Aug-05,10,INE050H01012,10
ROHLTD,Royal Orchid Hotels Limited,EQ,06-Feb-06,10,INE283H01019,10
ROLEXRINGS,Rolex Rings Limited,EQ,09-Aug-21,10,INE645S01016,10
ROLLT,Rollatainers Limited,EQ,22-Nov-16,1,INE927A01040,1
ROLTA,Rolta India Limited,BZ,01-Mar-95,10,INE293A01013,10
ROML,Raj Oil Mills Limited,EQ,06-Oct-20,10,INE294G01026,10
ROSSARI,Rossari Biotech Limited,EQ,23-Jul-20,2,INE02A801020,2
ROSSELLIND,Rossell India Limited,BE,25-Sep-12,2,INE847C01020,2
ROSSTECH,Rossell Techsys Limited,BE,09-Dec-24,2,INE0OJW01016,2
ROTO,Roto Pumps Limited,EQ,21-Apr-22,1,INE535D01037,1
ROUTE,ROUTE MOBILE LIMITED,EQ,21-Sep-20,10,INE450U01017,10
RPEL,Raghav Productivity Enhancers Limited,EQ,08-Aug-24,10,INE912T01018,10
RPGLIFE,RPG Life Sciences Limited,EQ,10-Jun-08,8,INE105J01010,8
RPOWER,Reliance Power Limited,EQ,11-Feb-08,10,INE614G01033,10
RPPINFRA,R.P.P. Infra Projects Limited,BE,06-Dec-10,10,INE324L01013,10
RPPL,Rajshree Polypack Limited,EQ,26-Nov-21,5,INE760W01023,5
RPSGVENT,RPSG VENTURES LIMITED,EQ,25-Jan-19,10,INE425Y01011,10
RPTECH,Rashi Peripherals Limited,EQ,14-Feb-24,5,INE0J1F01024,5
RRKABEL,R R Kabel Limited,EQ,20-Sep-23,5,INE777K01022,5
RSSOFTWARE,R. S. Software (India) Limited,BE,19-May-99,5,INE165B01029,5
RSWM,RSWM Limited,EQ,15-Feb-95,10,INE611A01016,10
RSYSTEMS,R Systems International Limited,EQ,26-Apr-06,1,INE411H01032,1
RTNINDIA,RattanIndia Enterprises Limited,EQ,30-Jul-12,2,INE834M01019,2
RTNPOWER,RattanIndia Power Limited,EQ,30-Oct-09,10,INE399K01017,10
RUBFILA,Rubfila International Limited,EQ,08-Aug-24,5,INE642C01025,5
RUBYMILLS,The Ruby Mills Limited,EQ,29-Mar-95,5,INE301D01026,5
RUCHINFRA,Ruchi Infrastructure Limited,EQ,16-Oct-96,1,INE413B01023,1
RUCHIRA,Ruchira Papers Limited,EQ,20-Dec-06,10,INE803H01014,10
RUPA,Rupa & Company Limited,EQ,07-Dec-11,1,INE895B01021,1
RUSHIL,Rushil Decor Limited,EQ,07-Jul-11,1,INE573K01025,1
RUSTOMJEE,Keystone Realtors Limited,EQ,24-Nov-22,10,INE263M01029,10
RVHL,Ravinder Heights Limited,EQ,18-Dec-20,1,INE09E501017,1
RVNL,Rail Vikas Nigam Limited,EQ,11-Apr-19,10,INE415G01027,10
RVTH,Revathi Equipment India Limited,BE,11-Sep-24,10,INE0DAB01012,10
S&SPOWER,S&S Power Switchgears Limited,BE,27-Sep-95,10,INE902B01017,10
SABEVENTS,Sab Events & Governance Now Media Limited,BE,15-Sep-16,10,INE860T01019,10
SABTNL,Sri Adhikari Brothers Television Network Limited,BE,01-Apr-24,10,INE416A01044,10
SADBHAV,Sadbhav Engineering Limited,BE,01-Mar-06,1,INE226H01026,1
SADBHIN,Sadbhav Infrastructure Project Limited,EQ,16-Sep-15,10,INE764L01010,10
SADHNANIQ,Sadhana Nitrochem Limited,BE,05-May-23,1,INE888C01040,1
SAFARI,Safari Industries (India) Limited,EQ,12-Sep-19,2,INE429E01023,2
SAGARDEEP,Sagardeep Alloys Limited,EQ,25-Jan-19,10,INE976T01013,10
SAGCEM,Sagar Cements Limited,EQ,29-Jan-07,2,INE229C01021,2
SAGILITY,Sagility India Limited,EQ,12-Nov-24,10,INE0W2G01015,10
SAH,Sah Polymers Limited,EQ,12-Jan-23,10,INE035801013,10
SAHYADRI,Sahyadri Industries Limited,EQ,06-Apr-23,10,INE280H01015,10
SAIL,Steel Authority of India Limited,EQ,06-Jul-95,10,INE114A01011,10
SAILIFE,Sai Life Sciences Limited,EQ,18-Dec-24,1,INE570L01029,1
SAKAR,Sakar Healthcare Limited,EQ,11-Apr-19,10,INE732S01012,10
SAKHTISUG,Sakthi Sugars Limited,EQ,06-Sep-95,10,INE623A01011,10
SAKSOFT,Saksoft Limited,EQ,09-May-05,1,INE667G01023,1
SAKUMA,Sakuma Exports Limited,BE,08-Mar-06,1,INE190H01024,1
SALASAR,Salasar Techno Engineering Limited,EQ,25-Jul-17,1,INE170V01027,1
SALONA,Salona Cotspin Limited,EQ,16-Jun-16,10,INE498E01010,10
SALSTEEL,S.A.L. Steel Limited,EQ,24-Nov-04,10,INE658G01014,10
SALZERELEC,Salzer Electronics Limited,EQ,02-Dec-15,10,INE457F01013,10
SAMBHAAV,Sambhaav Media Limited,BE,05-Jun-96,1,INE699B01027,1
SAMHI,Samhi Hotels Limited,EQ,22-Sep-23,1,INE08U801020,1
SAMMAANCAP,Sammaan Capital Limited,EQ,23-Jul-13,2,INE148I01020,2
SAMPANN,Sampann Utpadan India Limited,EQ,27-Jul-12,10,INE735M01018,10
SANATHAN,Sanathan Textiles Limited,EQ,27-Dec-24,10,INE0JPD01013,10
SANCO,Sanco Industries Limited,BZ,22-Nov-16,10,INE782L01012,10
SANDESH,The Sandesh Limited,EQ,26-Nov-02,10,INE583B01015,10
SANDHAR,Sandhar Technologies Limited,EQ,02-Apr-18,10,INE278H01035,10
SANDUMA,Sandur Manganese & Iron Ores Limited,EQ,07-Sep-23,10,INE149K01016,10
SANGAMIND,Sangam (India) Limited,EQ,17-Jul-96,10,INE495C01010,10
SANGHIIND,Sanghi Industries Limited,EQ,10-May-95,10,INE999B01013,10
SANGHVIMOV,Sanghvi Movers Limited,EQ,24-Jan-07,1,INE989A01032,1
SANGINITA,Sanginita Chemicals Limited,BE,15-Jul-19,10,INE753W01010,10
SANOFI,Sanofi India Limited,EQ,19-May-03,10,INE058A01010,10
SANOFICONR,Sanofi Consumer Healthcare India Limited,EQ,13-Sep-24,10,INE0UOS01011,10
SANSERA,Sansera Engineering Limited,EQ,24-Sep-21,2,INE953O01021,2
SANSTAR,Sanstar Limited,EQ,26-Jul-24,2,INE08NE01025,2
SANWARIA,Sanwaria Consumer Limited,BZ,27-Mar-06,1,INE890C01046,1
SAPPHIRE,Sapphire Foods India Limited,EQ,18-Nov-21,2,INE806T01020,2
SARDAEN,Sarda Energy & Minerals Limited,EQ,03-Dec-09,1,INE385C01021,1
SAREGAMA,Saregama India Limited,EQ,30-Jul-97,1,INE979A01025,1
SARLAPOLY,Sarla Performance Fibers Limited,EQ,19-Jan-07,1,INE453D01025,1
SARVESHWAR,Sarveshwar Foods Limited,EQ,08-Dec-22,1,INE324X01026,1
SASKEN,Sasken Technologies Limited,EQ,09-Sep-05,10,INE231F01020,10
SASTASUNDR,Sastasundar Ventures Limited,EQ,05-Oct-10,10,INE019J01013,10
SATIA,Satia Industries Limited,EQ,17-Jul-19,1,INE170E01023,1
SATIN,Satin Creditcare Network Limited,EQ,26-Aug-15,10,INE836B01017,10
SATINDLTD,Sat Industries Limited,EQ,21-Nov-22,2,INE065D01027,2
SAURASHCEM,Saurashtra Cement Limited,EQ,27-Feb-24,10,INE626A01014,10
SBC,SBC Exports Limited,EQ,23-Nov-21,1,INE04AK01028,1
SBCL,Shivalik Bimetal Controls Limited,EQ,24-Jun-21,2,INE386D01027,2
SBFC,SBFC Finance Limited,EQ,16-Aug-23,10,INE423Y01016,10
SBGLP,Suratwwala Business Group Limited,BE,10-Feb-23,1,INE05ST01028,1
SBICARD,SBI Cards and Payment Services Limited,EQ,16-Mar-20,10,INE018E01016,10
SBILIFE,SBI Life Insurance Company Limited,EQ,03-Oct-17,10,INE123W01016,10
SBIN,State Bank of India,EQ,01-Mar-95,1,INE062A01020,1
SCHAEFFLER,Schaeffler India Limited,EQ,29-Nov-00,2,INE513A01022,2
SCHAND,S Chand And Company Limited,EQ,09-May-17,5,INE807K01035,5
SCHNEIDER,Schneider Electric Infrastructure Limited,EQ,20-Mar-12,2,INE839M01018,2
SCI,Shipping Corporation Of India Limited,EQ,13-Aug-97,10,INE109A01011,10
SCILAL,Shipping Corporation of India Land and Assets Limited,EQ,19-Mar-24,10,INE0PB301013,10
SCPL,Sheetal Cool Products Limited,EQ,22-Nov-22,10,INE501Y01019,10
SDBL,Som Distilleries & Breweries Limited,EQ,18-Mar-14,2,INE480C01038,2
SEAMECLTD,Seamec Limited,EQ,28-Jun-95,10,INE497B01018,10
SECMARK,SecMark Consultancy Limited,EQ,16-Oct-23,10,INE0BTM01013,10
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,BE,29-Jan-14,5,INE650K01021,5
SEJALLTD,Sejal Glass Limited,EQ,13-Dec-21,10,INE955I01044,10
SELAN,Selan Exploration Technology Limited,EQ,26-Sep-06,10,INE818A01017,10
SELMC,SEL Manufacturing Company Limited,BE,26-Oct-21,10,INE105I01020,10
SEMAC,SEMAC CONSULTANTS LIMITED,BE,11-Aug-05,10,INE617A01013,10
SENCO,Senco Gold Limited,EQ,14-Jul-23,5,INE602W01027,5
SENORES,Senores Pharmaceuticals Limited,EQ,30-Dec-24,10,INE0RB801010,10
SEPC,SEPC Limited,EQ,20-Feb-08,10,INE964H01014,10
SEQUENT,Sequent Scientific Limited,EQ,10-Mar-16,2,INE807F01027,2
SERVOTECH,Servotech Renewable Power System Limited,EQ,02-Sep-21,1,INE782X01033,1
SESHAPAPER,Seshasayee Paper and Boards Limited,EQ,29-Mar-95,2,INE630A01024,2
SETCO,Setco Automotive Limited,BE,01-Jul-16,2,INE878E01021,2
SETUINFRA,Setubandhan Infrastructure Limited,BZ,04-Oct-11,1,INE023M01027,1
SFL,Sheela Foam Limited,EQ,09-Dec-16,5,INE916U01025,5
SGIL,Synergy Green Industries Limited,EQ,28-Jul-21,10,INE00QT01015,10
SGL,STL Global Limited,EQ,10-Apr-06,10,INE353H01010,10
SGLTL,Standard Glass Lining Technology Limited,EQ,13-Jan-25,10,INE0M4D01010,10
SHAH,Shah Metacorp Limited,EQ,27-Oct-10,1,INE482J01021,1
SHAHALLOYS,Shah Alloys Limited,BE,16-Jun-05,10,INE640C01011,10
SHAILY,Shaily Engineering Plastics Limited,EQ,04-Apr-22,2,INE151G01028,2
SHAKTIPUMP,Shakti Pumps (India) Limited,EQ,29-Jan-15,10,INE908D01010,10
SHALBY,Shalby Limited,EQ,15-Dec-17,10,INE597J01018,10
SHALPAINTS,Shalimar Paints Limited,EQ,03-Mar-08,2,INE849C01026,2
SHANKARA,Shankara Building Products Limited,EQ,05-Apr-17,10,INE274V01019,10
SHANTI,Shanti Overseas (India) Limited,EQ,16-Sep-21,10,INE933X01016,10
SHANTIGEAR,Shanthi Gears Limited,EQ,17-Jan-96,1,INE631A01022,1
SHARDACROP,Sharda Cropchem Limited,EQ,23-Sep-14,10,INE221J01015,10
SHARDAMOTR,Sharda Motor Industries Limited,EQ,03-Sep-15,2,INE597I01028,2
SHAREINDIA,Share India Securities Limited,EQ,21-Sep-20,2,INE932X01026,2
SHEKHAWATI,Shekhawati Industries Limited,BE,12-Jan-11,10,INE268L01046,10
SHEMAROO,Shemaroo Entertainment Limited,BE,01-Oct-14,10,INE363M01019,10
SHILPAMED,Shilpa Medicare Limited,EQ,03-Dec-09,1,INE790G01031,1
SHIVALIK,Shivalik Rasayan Limited,EQ,09-Dec-21,5,INE788J01021,5
SHIVAMAUTO,Shivam Autotech Limited,EQ,21-Nov-06,2,INE637H01024,2
SHIVAMILLS,Shiva Mills Limited,EQ,26-Feb-18,10,INE644Y01017,10
SHIVATEX,Shiva Texyarn Limited,EQ,26-Dec-17,10,INE705C01020,10
SHK,S H Kelkar and Company Limited,EQ,16-Nov-15,10,INE500L01026,10
SHOPERSTOP,Shoppers Stop Limited,EQ,23-May-05,5,INE498B01024,5
SHRADHA,Shradha Infraprojects Limited,EQ,22-Oct-20,2,INE715Y01031,2
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,EQ,28-Jan-20,10,INE232A01011,10
SHREECEM,SHREE CEMENT LIMITED,EQ,26-Apr-95,10,INE070A01015,10
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,EQ,10-Sep-15,10,INE712K01011,10
SHREERAMA,Shree Rama Multi-Tech Limited,EQ,13-Mar-00,5,INE879A01019,5
SHRENIK,Shrenik Limited,BE,02-Aug-19,1,INE632X01030,1
SHREYANIND,Shreyans Industries Limited,EQ,06-Nov-96,10,INE231C01019,10
SHRIPISTON,Shriram Pistons & Rings Limited,EQ,02-Jun-16,10,INE526E01018,10
SHRIRAMFIN,Shriram Finance Limited,EQ,11-Dec-96,2,INE721A01047,2
SHRIRAMPPS,Shriram Properties Limited,EQ,20-Dec-21,10,INE217L01019,10
SHYAMCENT,Shyam Century Ferrous Limited,BE,28-Jul-15,1,INE979R01011,1
SHYAMMETL,Shyam Metalics and Energy Limited,EQ,24-Jun-21,10,INE810G01011,10
SHYAMTEL,Shyam Telecom Limited,EQ,06-Nov-06,10,INE635A01023,10
SIEMENS,Siemens Limited,EQ,06-Sep-95,2,INE003A01024,2
SIGACHI,Sigachi Industries Limited,EQ,15-Nov-21,1,INE0D0K01022,1
SIGIND,Signet Industries Limited,EQ,29-Aug-18,10,INE529F01035,10
SIGMA,Sigma Solve Limited,EQ,09-Jun-23,10,INE0A0S01010,10
SIGNATURE,Signatureglobal (India) Limited,EQ,27-Sep-23,1,INE903U01023,1
SIGNPOST,Signpost India Limited,EQ,14-Feb-24,2,INE0KGZ01021,2
SIKKO,Sikko Industries Limited,EQ,22-Oct-21,10,INE112X01017,10
SIL,Standard Industries Limited,EQ,27-Jan-04,5,INE173A01025,5
SILGO,Silgo Retail Limited,BE,03-Mar-21,10,INE01II01013,10
SILINV,SIL Investments Limited,EQ,22-May-96,10,INE923A01015,10
SILLYMONKS,Silly Monks Entertainment Limited,EQ,08-Jul-20,10,INE203Y01012,10
SILVERTUC,Silver Touch Technologies Limited,EQ,12-May-22,10,INE625X01018,10
SIMBHALS,Simbhaoli Sugars Limited,BE,14-Mar-16,10,INE748T01016,10
SIMPLEXINF,Simplex Infrastructures Limited,EQ,09-Mar-04,2,INE059B01024,2
SINCLAIR,Sinclairs Hotels Limited,EQ,10-Apr-24,2,INE985A01022,2
SINDHUTRAD,Sindhu Trade Links Limited,EQ,20-Jun-23,1,INE325D01025,1
SINTERCOM,Sintercom India Limited,EQ,07-Oct-20,10,INE129Z01016,10
SIRCA,Sirca Paints India Limited,EQ,22-Jul-19,10,INE792Z01011,10
SIS,SIS LIMITED,EQ,10-Aug-17,5,INE285J01028,5
SITINET,Siti Networks Limited,BZ,10-Jan-07,1,INE965H01011,1
SIYSIL,Siyaram Silk Mills Limited,EQ,29-Jan-07,2,INE076B01028,2
SJS,S.J.S. Enterprises Limited,EQ,15-Nov-21,10,INE284S01014,10
SJVN,SJVN Limited,EQ,20-May-10,10,INE002L01015,10
SKFINDIA,SKF India Limited,EQ,27-Jan-99,10,INE640A01023,10
SKIPPER,Skipper Limited,EQ,27-May-15,1,INE439E01022,1
SKMEGGPROD,SKM Egg Products Export (India) Limited,EQ,14-Mar-97,10,INE411D01015,10
SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,EQ,06-Jan-23,10,INE01IU01018,10
SMARTLINK,Smartlink Holdings Limited,EQ,11-Apr-01,2,INE178C01020,2
SMCGLOBAL,SMC Global Securities Limited,EQ,24-Feb-21,2,INE103C01036,2
SMLISUZU,SML Isuzu Limited,EQ,29-Aug-03,10,INE294B01019,10
SMLT,Sarthak Metals Limited,EQ,25-Nov-21,10,INE017W01010,10
SMSLIFE,SMS Lifesciences India Limited,EQ,17-Aug-17,10,INE320X01016,10
SMSPHARMA,SMS Pharmaceuticals Limited,EQ,28-Feb-07,1,INE812G01025,1
SNOWMAN,Snowman Logistics Limited,EQ,12-Sep-14,10,INE734N01019,10
SOBHA,Sobha Limited,EQ,20-Dec-06,10,INE671H01015,10
SOFTTECH,Softtech Engineers Limited,EQ,25-Feb-22,10,INE728Z01015,10
SOLARA,Solara Active Pharma Sciences Limited,EQ,27-Jun-18,10,INE624Z01016,10
SOLARINDS,Solar Industries India Limited,EQ,03-Apr-06,2,INE343H01029,2
SOMANYCERA,Somany Ceramics Limited,EQ,22-Nov-95,2,INE355A01028,2
SOMATEX,Soma Textiles & Industries Limited,EQ,14-Aug-96,10,INE314C01013,10
